hour,production,power_sum,sec_proxy
2021-01-04 08:00:00,165,625.0,3.787878787878788
2021-01-04 09:00:00,313,641.0,2.047923322683706
2021-01-04 10:00:00,2757,626.0,0.22705839680812478
2021-01-04 11:00:00,983,595.0,0.6052899287894201
2021-01-04 12:00:00,96,357.0,3.71875
2021-01-04 13:00:00,791,621.0,0.7850821744627055
2021-01-04 14:00:00,2485,608.0,0.24466800804828973
2021-01-04 15:00:00,2313,560.0,0.2421098140942499
2021-01-04 16:00:00,1906,566.0,0.2969569779643232
2021-01-04 17:00:00,1725,489.0,0.28347826086956524
2021-01-04 20:00:00,46,403.0,8.76086956521739
2021-01-04 21:00:00,40,433.0,10.825
2021-01-04 23:00:00,52,388.0,7.461538461538462
2021-01-07 01:00:00,34,92.0,2.7058823529411766
2021-01-07 03:00:00,56,89.0,1.5892857142857142
2021-01-07 04:00:00,278,97.0,0.3489208633093525
2021-01-07 06:00:00,20,89.0,4.45
2021-01-07 07:00:00,2841,225.0,0.0791974656810982
2021-01-07 08:00:00,538,684.0,1.271375464684015
2021-01-07 09:00:00,1384,664.0,0.4797687861271676
2021-01-07 10:00:00,957,643.0,0.6718913270637409
2021-01-07 11:00:00,1013,673.0,0.6643632773938796
2021-01-07 12:00:00,797,460.0,0.5771643663739021
2021-01-07 13:00:00,1293,699.0,0.5406032482598608
2021-01-07 14:00:00,2314,698.0,0.3016421780466724
2021-01-07 15:00:00,1043,650.0,0.62320230105465
2021-01-07 16:00:00,1546,661.0,0.42755498059508407
2021-01-07 17:00:00,451,543.0,1.2039911308203992
2021-01-07 18:00:00,380,609.0,1.6026315789473684
2021-01-07 19:00:00,1652,518.0,0.3135593220338983
2021-01-07 20:00:00,194,433.0,2.231958762886598
2021-01-07 22:00:00,2,379.0,189.5
2021-01-07 23:00:00,12,393.0,32.75
2021-01-08 02:00:00,2,411.0,205.5
2021-01-08 03:00:00,148,398.0,2.689189189189189
2021-01-08 04:00:00,498,420.0,0.8433734939759037
2021-01-08 05:00:00,33,349.0,10.575757575757576
2021-01-08 06:00:00,60,390.0,6.5
2021-01-08 07:00:00,1507,373.0,0.24751161247511613
