fold,start,end,target_time,actual_max,tau,slot_typical,baseline_at_peak,baseline_typical,excess,rise,share,type,classification_reason,slot_typical_source,baseline_typical_source,day_type,slot,r2_gate_passed,classification_role,attribution_scope,type_label
0,2021-04-15 09:00:00,2021-04-15 09:00:00,2021-04-15 09:00:00,179.0,176.5,167.5,105.2254724346347,103.69266047183764,11.5,1.5328119627970551,0.1332879967649613,residual,classified,same_daytype_slot,same_daytype_slot,workday,35,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,잔차형
0,2021-04-15 13:15:00,2021-04-15 13:45:00,2021-04-15 13:15:00,182.0,176.5,158.0,113.38267819080633,113.44880761163162,24.0,-0.06612942082529116,0.0,residual,classified,same_daytype_slot,same_daytype_slot,workday,52,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,잔차형
0,2021-04-15 15:45:00,2021-04-15 15:45:00,2021-04-15 15:45:00,179.0,176.5,159.0,100.9222502332677,104.78967137269979,20.0,-3.867421139432082,0.0,residual,classified,same_daytype_slot,same_daytype_slot,workday,62,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,잔차형
0,2021-04-16 09:00:00,2021-04-16 09:00:00,2021-04-16 09:00:00,179.0,176.5,167.5,98.18459585310438,103.69266047183764,11.5,-5.508064618733258,0.0,residual,classified,same_daytype_slot,same_daytype_slot,workday,35,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,잔차형
0,2021-04-16 13:15:00,2021-04-16 13:45:00,2021-04-16 13:15:00,182.0,176.5,158.0,124.4820662410306,113.44880761163162,24.0,11.033258629398972,0.4597191095582905,mixed,classified,same_daytype_slot,same_daytype_slot,workday,52,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,혼합형
0,2021-04-16 15:45:00,2021-04-16 15:45:00,2021-04-16 15:45:00,179.0,176.5,159.0,88.46436157131572,104.78967137269979,20.0,-16.325309801384066,0.0,residual,classified,same_daytype_slot,same_daytype_slot,workday,62,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,잔차형
0,2021-05-03 08:30:00,2021-05-03 09:30:00,2021-05-03 08:30:00,184.0,176.5,157.0,121.0780528466625,102.82657710900622,27.0,18.25147573765628,0.6759805828761585,production_explained,classified,same_daytype_slot,same_daytype_slot,workday,33,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,생산 기인형(전체 기준선 설명형; 생산 단독 귀속 아님)
0,2021-05-03 12:00:00,2021-05-03 12:00:00,2021-05-03 12:00:00,179.0,176.5,164.0,133.91131929732484,117.29140436570756,15.0,16.619914931617274,1.0,production_explained,classified,same_daytype_slot,same_daytype_slot,workday,47,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,생산 기인형(전체 기준선 설명형; 생산 단독 귀속 아님)
0,2021-05-03 13:15:00,2021-05-03 14:00:00,2021-05-03 13:45:00,182.0,176.5,168.0,99.75658644463861,112.96581078176146,14.0,-13.209224337122848,0.0,residual,classified,same_daytype_slot,same_daytype_slot,workday,54,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,잔차형
0,2021-05-04 08:30:00,2021-05-04 08:30:00,2021-05-04 08:30:00,181.0,176.5,157.0,109.88676747749962,102.82657710900622,24.0,7.060190368493394,0.2941745986872248,mixed,classified,same_daytype_slot,same_daytype_slot,workday,33,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,혼합형
0,2021-05-04 09:45:00,2021-05-04 09:45:00,2021-05-04 09:45:00,177.0,176.5,166.0,157.5938932212799,113.4992757460252,11.0,44.094617475254694,1.0,production_explained,classified,same_daytype_slot,same_daytype_slot,workday,38,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,생산 기인형(전체 기준선 설명형; 생산 단독 귀속 아님)
0,2021-05-04 11:15:00,2021-05-04 11:15:00,2021-05-04 11:15:00,178.0,176.5,163.0,117.48635448456662,117.1678056062446,15.0,0.3185488783220194,0.021236591888134627,residual,classified,same_daytype_slot,same_daytype_slot,workday,44,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,잔차형
0,2021-05-04 15:00:00,2021-05-04 15:00:00,2021-05-04 15:00:00,180.0,176.5,163.0,106.78633895058208,117.63702597899528,17.0,-10.850687028413205,0.0,residual,classified,same_daytype_slot,same_daytype_slot,workday,59,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,잔차형
0,2021-05-04 15:45:00,2021-05-04 15:45:00,2021-05-04 15:45:00,177.0,176.5,159.0,117.09718023400842,104.78967137269979,18.0,12.307508861308634,0.6837504922949241,production_explained,classified,same_daytype_slot,same_daytype_slot,workday,62,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,생산 기인형(전체 기준선 설명형; 생산 단독 귀속 아님)
0,2021-05-06 08:30:00,2021-05-06 10:00:00,2021-05-06 09:00:00,199.0,176.5,167.5,96.86972151958508,103.69266047183764,31.5,-6.8229389522525565,0.0,residual,classified,same_daytype_slot,same_daytype_slot,workday,35,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,잔차형
0,2021-05-06 11:00:00,2021-05-06 11:00:00,2021-05-06 11:00:00,177.0,176.5,167.0,120.24983412347231,114.8337680877587,10.0,5.416066035713612,0.5416066035713613,production_explained,classified,same_daytype_slot,same_daytype_slot,workday,43,True,descriptive,full_ridge_baseline_including_weather_calendar_not_production_only,생산 기인형(전체 기준선 설명형; 생산 단독 귀속 아님)
