fold,week_start,slot,eligible_dates,events,rate,selected_fold_slot
0,2021-04-12,0,3,0,0.0,False
0,2021-04-19,0,5,0,0.0,False
0,2021-04-26,0,5,0,0.0,False
0,2021-05-03,0,4,0,0.0,False
0,2021-05-10,0,4,0,0.0,False
0,2021-04-12,1,3,0,0.0,False
0,2021-04-19,1,5,0,0.0,False
0,2021-04-26,1,5,0,0.0,False
0,2021-05-03,1,4,0,0.0,False
0,2021-05-10,1,4,0,0.0,False
0,2021-04-12,2,3,0,0.0,False
0,2021-04-19,2,5,0,0.0,False
0,2021-04-26,2,5,0,0.0,False
0,2021-05-03,2,4,0,0.0,False
0,2021-05-10,2,4,0,0.0,False
0,2021-04-12,3,3,0,0.0,False
0,2021-04-19,3,5,0,0.0,False
0,2021-04-26,3,5,0,0.0,False
0,2021-05-03,3,4,0,0.0,False
0,2021-05-10,3,4,0,0.0,False
0,2021-04-12,4,3,0,0.0,False
0,2021-04-19,4,5,0,0.0,False
0,2021-04-26,4,5,0,0.0,False
0,2021-05-03,4,4,0,0.0,False
0,2021-05-10,4,4,0,0.0,False
0,2021-04-12,5,3,0,0.0,False
0,2021-04-19,5,5,0,0.0,False
0,2021-04-26,5,5,0,0.0,False
0,2021-05-03,5,4,0,0.0,False
0,2021-05-10,5,4,0,0.0,False
0,2021-04-12,6,3,0,0.0,False
0,2021-04-19,6,5,0,0.0,False
0,2021-04-26,6,5,0,0.0,False
0,2021-05-03,6,4,0,0.0,False
0,2021-05-10,6,4,0,0.0,False
0,2021-04-12,7,3,0,0.0,False
0,2021-04-19,7,5,0,0.0,False
0,2021-04-26,7,5,0,0.0,False
0,2021-05-03,7,4,0,0.0,False
0,2021-05-10,7,4,0,0.0,False
0,2021-04-12,8,3,0,0.0,False
0,2021-04-19,8,5,0,0.0,False
0,2021-04-26,8,5,0,0.0,False
0,2021-05-03,8,4,0,0.0,False
0,2021-05-10,8,4,0,0.0,False
0,2021-04-12,9,3,0,0.0,False
0,2021-04-19,9,5,0,0.0,False
0,2021-04-26,9,5,0,0.0,False
0,2021-05-03,9,4,0,0.0,False
0,2021-05-10,9,4,0,0.0,False
0,2021-04-12,10,3,0,0.0,False
0,2021-04-19,10,5,0,0.0,False
0,2021-04-26,10,5,0,0.0,False
0,2021-05-03,10,4,0,0.0,False
0,2021-05-10,10,4,0,0.0,False
0,2021-04-12,11,3,0,0.0,False
0,2021-04-19,11,5,0,0.0,False
0,2021-04-26,11,5,0,0.0,False
0,2021-05-03,11,4,0,0.0,False
0,2021-05-10,11,4,0,0.0,False
0,2021-04-12,12,3,0,0.0,False
0,2021-04-19,12,5,0,0.0,False
0,2021-04-26,12,5,0,0.0,False
0,2021-05-03,12,4,0,0.0,False
0,2021-05-10,12,4,0,0.0,False
0,2021-04-12,13,3,0,0.0,False
0,2021-04-19,13,5,0,0.0,False
0,2021-04-26,13,5,0,0.0,False
0,2021-05-03,13,4,0,0.0,False
0,2021-05-10,13,4,0,0.0,False
0,2021-04-12,14,3,0,0.0,False
0,2021-04-19,14,5,0,0.0,False
0,2021-04-26,14,5,0,0.0,False
0,2021-05-03,14,4,0,0.0,False
0,2021-05-10,14,4,0,0.0,False
0,2021-04-12,15,3,0,0.0,False
0,2021-04-19,15,5,0,0.0,False
0,2021-04-26,15,5,0,0.0,False
0,2021-05-03,15,4,0,0.0,False
0,2021-05-10,15,4,0,0.0,False
0,2021-04-12,16,3,0,0.0,False
0,2021-04-19,16,5,0,0.0,False
0,2021-04-26,16,5,0,0.0,False
0,2021-05-03,16,4,0,0.0,False
0,2021-05-10,16,4,0,0.0,False
0,2021-04-12,17,3,0,0.0,False
0,2021-04-19,17,5,0,0.0,False
0,2021-04-26,17,5,0,0.0,False
0,2021-05-03,17,4,0,0.0,False
0,2021-05-10,17,4,0,0.0,False
